,,,,
,,,,
,,,,
Name,Measurement #1,Measurement #2,Measurement #3,Measurement #4
510 nm,1.40677E-05,1.24102E-03,1.96535E-04,1.70190E-05
511 nm,1.46530E-05,1.37071E-03,1.98562E-04,1.85036E-05
512 nm,1.55859E-05,1.50772E-03,1.99987E-04,2.00076E-05
513 nm,1.70204E-05,1.64461E-03,2.02218E-04,2.14315E-05
514 nm,1.99512E-05,1.78237E-03,2.02737E-04,2.28393E-05
515 nm,2.52699E-05,1.91942E-03,1.97637E-04,2.42698E-05
516 nm,3.08145E-05,2.05451E-03,1.89808E-04,2.57281E-05
517 nm,3.29536E-05,2.19239E-03,1.86333E-04,2.72732E-05
518 nm,3.23049E-05,2.32895E-03,1.86928E-04,2.87968E-05
519 nm,3.37338E-05,2.45490E-03,1.84397E-04,3.00728E-05
520 nm,3.88702E-05,2.57049E-03,1.75658E-04,3.11850E-05
521 nm,4.33846E-05,2.68729E-03,1.64839E-04,3.26910E-05
522 nm,4.40276E-05,2.80624E-03,1.55543E-04,3.47912E-05
523 nm,4.32672E-05,2.93000E-03,1.49371E-04,3.69281E-05
524 nm,4.35742E-05,3.04861E-03,1.46228E-04,3.84069E-05
525 nm,4.30870E-05,3.16275E-03,1.44171E-04,3.95085E-05
526 nm,3.89550E-05,3.25658E-03,1.40019E-04,4.05357E-05
527 nm,3.53830E-05,3.33800E-03,1.34052E-04,4.15749E-05
528 nm,3.95441E-05,3.40234E-03,1.27210E-04,4.22775E-05
529 nm,4.88961E-05,3.44500E-03,1.20762E-04,4.24980E-05
530 nm,5.22193E-05,3.46671E-03,1.16502E-04,4.23464E-05
531 nm,4.59409E-05,3.46708E-03,1.13913E-04,4.19516E-05
532 nm,3.83048E-05,3.45562E-03,1.09416E-04,4.15918E-05
533 nm,3.54206E-05,3.44300E-03,1.01649E-04,4.14756E-05
534 nm,3.62819E-05,3.41603E-03,9.44439E-05,4.13336E-05
