628	4.32E-01	7.07E-02	0.00E+00
629	4.16E-01	6.63E-02	0.00E+00
630	4.01E-01	6.21E-02	0.00E+00
631	3.85E-01	5.82E-02	0.00E+00
632	3.70E-01	5.44E-02	0.00E+00
633	3.56E-01	5.09E-02	0.00E+00
634	3.42E-01	4.76E-02	0.00E+00
635	3.28E-01	4.45E-02	0.00E+00
636	3.15E-01	4.16E-02	0.00E+00
637	3.02E-01	3.88E-02	0.00E+00
638	2.89E-01	3.62E-02	0.00E+00
639	2.77E-01	3.38E-02	0.00E+00
640	2.66E-01	3.14E-02	0.00E+00
641	2.55E-01	2.92E-02	0.00E+00
642	2.44E-01	2.71E-02	0.00E+00
643	2.34E-01	2.52E-02	0.00E+00
644	2.23E-01	2.34E-02	0.00E+00
645	2.13E-01	2.18E-02	0.00E+00
646	2.03E-01	2.03E-02	0.00E+00
647	1.93E-01	1.90E-02	0.00E+00
648	1.84E-01	1.77E-02	0.00E+00
649	1.74E-01	1.66E-02	0.00E+00
650	1.65E-01	1.54E-02	0.00E+00
651	1.56E-01	1.44E-02	0.00E+00
652	1.48E-01	1.34E-02	0.00E+00
653	1.40E-01	1.24E-02	0.00E+00
654	1.32E-01	1.15E-02	0.00E+00
655	1.25E-01	1.07E-02	0.00E+00
656	1.18E-01	9.93E-03	0.00E+00
657	1.11E-01	9.20E-03	0.00E+00
658	1.05E-01	8.52E-03	0.00E+00
659	9.87E-02	7.89E-03	0.00E+00
660	9.30E-02	7.30E-03	0.00E+00
661	8.76E-02	6.76E-03	0.00E+00
662	8.24E-02	6.25E-03	0.00E+00
663	7.75E-02	5.79E-03	0.00E+00
664	7.29E-02	5.36E-03	0.00E+00
665	6.85E-02	4.97E-03	0.00E+00
666	6.44E-02	4.61E-03	0.00E+00
667	6.04E-02	4.28E-03	0.00E+00
668	5.67E-02	3.98E-03	0.00E+00
669	5.32E-02	3.70E-03	0.00E+00
670	4.99E-02	3.44E-03	0.00E+00
671	4.67E-02	3.19E-03	0.00E+00
672	4.38E-02	2.97E-03	0.00E+00
673	4.10E-02	2.76E-03	0.00E+00
674	3.83E-02	2.56E-03	0.00E+00
675	3.58E-02	2.38E-03	0.00E+00
676	3.35E-02	2.21E-03	0.00E+00
677	3.13E-02	2.05E-03	0.00E+00
678	2.92E-02	1.90E-03	0.00E+00
679	2.72E-02	1.76E-03	0.00E+00
680	2.54E-02	1.64E-03	0.00E+00
681	2.37E-02	1.52E-03	0.00E+00
682	2.20E-02	1.41E-03	0.00E+00
683	2.05E-02	1.31E-03	0.00E+00
684	1.91E-02	1.21E-03	0.00E+00
685	1.77E-02	1.12E-03	0.00E+00
686	1.64E-02	1.04E-03	0.00E+00
687	1.53E-02	9.60E-04	0.00E+00
688	1.41E-02	8.88E-04	0.00E+00
689	1.31E-02	8.22E-04	0.00E+00
690	1.22E-02	7.61E-04	0.00E+00
691	1.13E-02	7.06E-04	0.00E+00
692	1.05E-02	6.55E-04	0.00E+00
693	9.78E-03	6.08E-04	0.00E+00
694	9.10E-03	5.65E-04	0.00E+00
695	8.47E-03	5.25E-04	0.00E+00
696	7.88E-03	4.89E-04	0.00E+00
697	7.33E-03	4.54E-04	0.00E+00
698	6.82E-03	4.22E-04	0.00E+00
699	6.34E-03	3.93E-04	0.00E+00
700	5.90E-03	3.65E-04	0.00E+00
701	5.48E-03	3.40E-04	0.00E+00
702	5.10E-03	3.16E-04	0.00E+00
703	4.74E-03	2.94E-04	0.00E+00
704	4.41E-03	2.73E-04	0.00E+00
705	4.09E-03	2.53E-04	0.00E+00
706	3.80E-03	2.35E-04	0.00E+00
707	3.52E-03	2.18E-04	0.00E+00
708	3.27E-03	2.03E-04	0.00E+00
709	3.03E-03	1.88E-04	0.00E+00
710	2.80E-03	1.74E-04	0.00E+00
711	2.60E-03	1.62E-04	0.00E+00
712	2.41E-03	1.50E-04	0.00E+00
713	2.23E-03	1.40E-04	0.00E+00
714	2.07E-03	1.30E-04	0.00E+00
715	1.92E-03	1.21E-04	0.00E+00
716	1.78E-03	1.12E-04	0.00E+00
717	1.66E-03	1.04E-04	0.00E+00
718	1.54E-03	9.71E-05	0.00E+00
719	1.43E-03	9.04E-05	0.00E+00
720	1.33E-03	8.42E-05	0.00E+00
721	1.23E-03	7.84E-05	0.00E+00
722	1.14E-03	7.29E-05	0.00E+00
723	1.06E-03	6.79E-05	0.00E+00
724	9.88E-04	6.33E-05	0.00E+00
725	9.18E-04	5.89E-05	0.00E+00
726	8.53E-04	5.49E-05	0.00E+00
727	7.94E-04	5.12E-05	0.00E+00
728	7.38E-04	4.78E-05	0.00E+00
729	6.87E-04	4.46E-05	0.00E+00
730	6.39E-04	4.16E-05	0.00E+00
731	5.95E-04	3.88E-05	0.00E+00
732	5.54E-04	3.62E-05	0.00E+00
733	5.15E-04	3.38E-05	0.00E+00
734	4.79E-04	3.15E-05	0.00E+00
735	4.46E-04	2.94E-05	0.00E+00
736	4.15E-04	2.75E-05	0.00E+00
737	3.86E-04	2.56E-05	0.00E+00
738	3.59E-04	2.39E-05	0.00E+00
739	3.34E-04	2.23E-05	0.00E+00
740	3.11E-04	2.09E-05	0.00E+00
741	2.90E-04	1.95E-05	0.00E+00
742	2.70E-04	1.83E-05	0.00E+00
743	2.52E-04	1.71E-05	0.00E+00
744	2.35E-04	1.61E-05	0.00E+00
745	2.19E-04	1.50E-05	0.00E+00
746	2.05E-04	1.41E-05	0.00E+00
747	1.91E-04	1.32E-05	0.00E+00
748	1.78E-04	1.23E-05	0.00E+00
749	1.66E-04	1.16E-05	0.00E+00
750	1.55E-04	1.08E-05	0.00E+00
751	1.44E-04	1.01E-05	0.00E+00
752	1.35E-04	9.49E-06	0.00E+00
753	1.26E-04	8.90E-06	0.00E+00
754	1.17E-04	8.34E-06	0.00E+00
755	1.10E-04	7.82E-06	0.00E+00
756	1.02E-04	7.34E-06	0.00E+00
757	9.56E-05	6.89E-06	0.00E+00
758	8.93E-05	6.46E-06	0.00E+00
759	8.35E-05	6.06E-06	0.00E+00
760	7.80E-05	5.69E-06	0.00E+00
761	7.29E-05	5.34E-06	0.00E+00
762	6.81E-05	5.01E-06	0.00E+00
763	6.36E-05	4.70E-06	0.00E+00
764	5.95E-05	4.41E-06	0.00E+00
765	5.56E-05	4.14E-06	0.00E+00
766	5.20E-05	3.89E-06	0.00E+00
767	4.87E-05	3.65E-06	0.00E+00
768	4.56E-05	3.43E-06	0.00E+00
769	4.27E-05	3.22E-06	0.00E+00
770	3.99E-05	3.03E-06	0.00E+00
771	3.74E-05	2.84E-06	0.00E+00
772	3.49E-05	2.67E-06	0.00E+00
773	3.27E-05	2.50E-06	0.00E+00
774	3.06E-05	2.35E-06	0.00E+00
775	2.86E-05	2.21E-06	0.00E+00
776	2.68E-05	2.08E-06	0.00E+00
777	2.51E-05	1.96E-06	0.00E+00
778	2.36E-05	1.84E-06	0.00E+00
779	2.21E-05	1.74E-06	0.00E+00
780	2.07E-05	1.63E-06	0.00E+00
781	1.94E-05	1.54E-06	0.00E+00
782	1.82E-05	1.45E-06	0.00E+00
783	1.71E-05	1.36E-06	0.00E+00
784	1.60E-05	1.29E-06	0.00E+00
785	1.50E-05	1.21E-06	0.00E+00
786	1.41E-05	1.14E-06	0.00E+00
787	1.32E-05	1.07E-06	0.00E+00
788	1.24E-05	1.01E-06	0.00E+00
789	1.17E-05	9.54E-07	0.00E+00
790	1.09E-05	8.99E-07	0.00E+00
791	1.03E-05	8.47E-07	0.00E+00
792	9.64E-06	7.99E-07	0.00E+00
793	9.05E-06	7.53E-07	0.00E+00
794	8.50E-06	7.10E-07	0.00E+00
795	7.98E-06	6.70E-07	0.00E+00
796	7.49E-06	6.32E-07	0.00E+00
797	7.04E-06	5.97E-07	0.00E+00
798	6.62E-06	5.63E-07	0.00E+00
799	6.22E-06	5.32E-07	0.00E+00
800	5.85E-06	5.03E-07	0.00E+00
801	5.50E-06	4.76E-07	0.00E+00
802	5.18E-06	4.50E-07	0.00E+00
803	4.87E-06	4.25E-07	0.00E+00
804	4.58E-06	4.02E-07	0.00E+00
805	4.31E-06	3.80E-07	0.00E+00
806	4.05E-06	3.59E-07	0.00E+00
807	3.81E-06	3.39E-07	0.00E+00
808	3.58E-06	3.21E-07	0.00E+00
809	3.37E-06	3.03E-07	0.00E+00
810	3.17E-06	2.86E-07	0.00E+00
811	2.98E-06	2.71E-07	0.00E+00
812	2.81E-06	2.56E-07	0.00E+00
813	2.64E-06	2.42E-07	0.00E+00
814	2.49E-06	2.29E-07	0.00E+00
815	2.34E-06	2.17E-07	0.00E+00
816	2.21E-06	2.05E-07	0.00E+00
817	2.08E-06	1.94E-07	0.00E+00
818	1.96E-06	1.84E-07	0.00E+00
819	1.85E-06	1.74E-07	0.00E+00
820	1.75E-06	1.65E-07	0.00E+00
821	1.65E-06	1.56E-07	0.00E+00
822	1.55E-06	1.48E-07	0.00E+00
823	1.46E-06	1.40E-07	0.00E+00
824	1.38E-06	1.33E-07	0.00E+00
825	1.30E-06	1.26E-07	0.00E+00
826	1.23E-06	1.19E-07	0.00E+00
827	1.16E-06	1.12E-07	0.00E+00
828	1.09E-06	1.06E-07	0.00E+00
829	1.03E-06	1.01E-07	0.00E+00
830	9.74E-07	9.53E-08	0.00E+00
